Title,Rating,Review,Category
11. Kosgoda Sea Turtle Conservation Project,"<svg aria-labelledby="":lithium-R4j9k8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9k8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",659,Open now
12. Turtle Point,"<svg aria-labelledby="":lithium-R4j9kod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9kod7a6kdalsnsla:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",170,"After sunset, don't forget to taste the fresh seafood at the restaurants on the beach."
13. Turtle Hatchery Hikkaduwa,"<svg aria-labelledby="":lithium-R4j9l8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9l8d7a6kdalsnsla:"">3.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>","1,520",Nature & Wildlife Areas
14. Japanese Peace Pagoda,"<svg aria-labelledby="":lithium-R4j9lod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9lod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",926,One of the great project done by a family.They cured injured turtles by giving them medicine .So amazing ..If u visit...
15. Community Tsunami Museum,"<svg aria-labelledby="":lithium-R4j9m8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9m8d7a6kdalsnsla:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",708,Beaches
16. Lunuganga Garden Tour,"<svg aria-labelledby="":lithium-R4j9mod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9mod7a6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",410,Open now
17. Kalametiya Eco Bird Watching,"<svg aria-labelledby="":lithium-R4j9n8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9n8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",336,Surfing here is very popular.
18. Mulgirigala Raja Maha Vihara,"<svg aria-labelledby="":lithium-R4j9nod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9nod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",724,National Parks
19. Kalametiya Bird Watching & Ecotourism,"<svg aria-labelledby="":lithium-R4j9o8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9o8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",159,Open now
20. Nandana Tea Factory,"<svg aria-labelledby="":lithium-R4j9ood7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9ood7a6kdalsnsla:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",227,We have also been to other national parks in Sri Lanka but really recommend Bundala and Srimal to everyone.
21. Sea Turtle Protection Association,"<svg aria-labelledby="":lithium-R4j9p8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9p8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>","1,051",Nature & Wildlife Areas • Forests
22. Goyambokka Beach (Sriyanga Sanjeewa),"<svg aria-labelledby="":lithium-R4j9pod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9pod7a6kdalsnsla:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",527,Open now
23. Galle Fort Lighthouse,"<svg aria-labelledby="":lithium-R4j9q8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9q8d7a6kdalsnsla:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",874,"... rainforest I would recommend wearing trainers and long trousers with the leech socks, plenty of water as it’s hot."
